miRNA	lncRNA
hsa-miR-133a-3p	LINC02381
hsa-miR-133a-3p	AC016876.2
hsa-miR-133a-3p	AC016876.2
hsa-miR-133a-3p	AC016876.2
hsa-miR-133a-3p	AC110285.2
hsa-miR-133a-3p	AC079466.1
hsa-miR-133a-3p	PTOV1-AS2
hsa-miR-133a-3p	AC020922.3
hsa-miR-133b	AL691482.3
hsa-miR-133b	FGD5-AS1
hsa-miR-133b	NEAT1
hsa-miR-133b	LINC02381
hsa-miR-133b	AC016876.2
hsa-miR-133b	AC016876.2
hsa-miR-133b	AC016876.2
hsa-miR-133b	AC110285.2
hsa-miR-133b	AC079466.1
hsa-miR-133b	PTOV1-AS2
hsa-miR-133b	AC020922.3
hsa-miR-134-5p	PINK1-AS
hsa-miR-134-5p	AL445231.1
hsa-miR-134-5p	ADAMTSL4-AS1
hsa-miR-134-5p	DNM3OS
hsa-miR-134-5p	HK2-DT
hsa-miR-134-5p	LINC01123
hsa-miR-134-5p	LINC01123
hsa-miR-134-5p	LINC01106
hsa-miR-134-5p	AC009948.1
hsa-miR-134-5p	AC009948.1
hsa-miR-134-5p	LINC01963
hsa-miR-134-5p	LINC01963
hsa-miR-134-5p	AC104447.1
hsa-miR-134-5p	LINC02035
hsa-miR-134-5p	LINC02035
hsa-miR-134-5p	LINC01618
hsa-miR-134-5p	PP7080
hsa-miR-134-5p	SND1-IT1
hsa-miR-134-5p	AC007938.3
hsa-miR-134-5p	CDKN2B-AS1
hsa-miR-134-5p	AL353795.3
hsa-miR-134-5p	AL353795.3
hsa-miR-134-5p	MIR600HG
hsa-miR-134-5p	OLMALINC
hsa-miR-134-5p	OLMALINC
hsa-miR-134-5p	KCNQ1OT1
hsa-miR-134-5p	KCNQ1OT1
hsa-miR-134-5p	KCNQ1OT1
hsa-miR-134-5p	KCNQ1OT1
hsa-miR-134-5p	KCNQ1OT1
hsa-miR-134-5p	KCNQ1OT1
hsa-miR-134-5p	KCNQ1OT1
hsa-miR-134-5p	KCNQ1OT1
hsa-miR-134-5p	KCNQ1OT1
hsa-miR-134-5p	NEAT1
hsa-miR-134-5p	NEAT1
hsa-miR-134-5p	AC005831.1
hsa-miR-134-5p	AC144548.1
hsa-miR-134-5p	AC073592.5
hsa-miR-134-5p	Z92544.1
hsa-miR-134-5p	MIR22HG
hsa-miR-134-5p	AC015799.1
hsa-miR-134-5p	AC127521.1
hsa-miR-134-5p	LINC02693
hsa-miR-134-5p	AC005562.1
hsa-miR-134-5p	AC004687.1
hsa-miR-134-5p	AC005332.6
hsa-miR-134-5p	AC005332.6
hsa-miR-134-5p	AC145207.5
hsa-miR-134-5p	TYMSOS
hsa-miR-134-5p	WDR7-OT1
hsa-miR-134-5p	MIR122HG
hsa-miR-134-5p	AC007191.1
hsa-miR-134-5p	AL117335.1
hsa-miR-134-5p	LINC01278
hsa-miR-134-5p	FTX
hsa-miR-134-5p	FTX
hsa-miR-1343-3p	AL049795.2
hsa-miR-1343-3p	AL590666.2
hsa-miR-1343-3p	AL590666.2
hsa-miR-1343-3p	Z97200.1
hsa-miR-1343-3p	Z97200.1
hsa-miR-1343-3p	MIR29B2CHG
hsa-miR-1343-3p	TTN-AS1
hsa-miR-1343-3p	TTN-AS1
hsa-miR-1343-3p	TTN-AS1
hsa-miR-1343-3p	TTN-AS1
hsa-miR-1343-3p	AC012063.1
hsa-miR-1343-3p	THUMPD3-AS1
hsa-miR-1343-3p	FGD5-AS1
hsa-miR-1343-3p	TERC
hsa-miR-1343-3p	CTBP1-DT
hsa-miR-1343-3p	CTBP1-DT
hsa-miR-1343-3p	CTBP1-DT
hsa-miR-1343-3p	DANCR
hsa-miR-1343-3p	AC079228.1
hsa-miR-1343-3p	AC025171.4
hsa-miR-1343-3p	AL713998.1
hsa-miR-1343-3p	AL589935.1
hsa-miR-1343-3p	SND1-IT1
hsa-miR-1343-3p	AC016065.1
hsa-miR-1343-3p	AC016065.1
hsa-miR-1343-3p	ZNNT1
hsa-miR-1343-3p	ZNNT1
hsa-miR-1343-3p	AC013287.1
hsa-miR-1343-3p	AL513534.2
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	KCNQ1OT1
hsa-miR-1343-3p	NEAT1
hsa-miR-1343-3p	NEAT1
hsa-miR-1343-3p	NEAT1
hsa-miR-1343-3p	NEAT1
hsa-miR-1343-3p	NEAT1
hsa-miR-1343-3p	AP003392.3
hsa-miR-1343-3p	AC068888.1
hsa-miR-1343-3p	AC023509.1
hsa-miR-1343-3p	AC156455.1
hsa-miR-1343-3p	AC156455.1
hsa-miR-1343-3p	AL161891.1
hsa-miR-1343-3p	MEG3
hsa-miR-1343-3p	MEG3
hsa-miR-1343-3p	MEG3
hsa-miR-1343-3p	MEG3
hsa-miR-1343-3p	MEG3
hsa-miR-1343-3p	MEG3
hsa-miR-1343-3p	AC027088.1
hsa-miR-1343-3p	AC022167.2
hsa-miR-1343-3p	AC022167.2
hsa-miR-1343-3p	AC138904.1
hsa-miR-1343-3p	VPS9D1-AS1
hsa-miR-1343-3p	VPS9D1-AS1
hsa-miR-1343-3p	AC016876.2
hsa-miR-1343-3p	AC016876.2
hsa-miR-1343-3p	SNHG29
hsa-miR-1343-3p	SNHG29
hsa-miR-1343-3p	AC018628.1
hsa-miR-1343-3p	AC007998.3
hsa-miR-1343-3p	AC007998.3
hsa-miR-1343-3p	LINC01029
hsa-miR-1343-3p	ILF3-DT
hsa-miR-1343-3p	ILF3-DT
hsa-miR-1343-3p	AC008738.7
hsa-miR-1343-3p	AC010331.1
hsa-miR-1343-3p	PTOV1-AS2
hsa-miR-1343-3p	AC005261.1
hsa-miR-1343-3p	SNHG11
hsa-miR-1343-3p	SNHG11
hsa-miR-1343-3p	DSCAM-AS1
hsa-miR-1343-3p	MCM3AP-AS1
hsa-miR-1343-3p	MCM3AP-AS1
hsa-miR-1343-3p	GUSBP11
hsa-miR-1343-3p	GUSBP11
hsa-miR-1343-3p	GUSBP11
hsa-miR-1343-3p	GUSBP11
hsa-miR-1343-3p	GUSBP11
hsa-miR-1343-3p	C22orf34
hsa-miR-1343-3p	C22orf34
hsa-miR-1343-3p	ASMTL-AS1
hsa-miR-1343-3p	ASMTL-AS1
hsa-miR-1343-3p	AL121578.1
hsa-miR-1343-3p	XIST
hsa-miR-1343-3p	XIST
hsa-miR-1343-3p	ASMTL-AS1
hsa-miR-1343-3p	ASMTL-AS1
hsa-miR-135a-5p	AL137127.1
hsa-miR-135a-5p	WARS2-AS1
hsa-miR-135a-5p	GAS5
hsa-miR-135a-5p	GAS5
hsa-miR-135a-5p	DANCR
hsa-miR-135a-5p	PURPL
hsa-miR-135a-5p	AC021078.1
hsa-miR-135a-5p	AC021078.1
hsa-miR-135a-5p	Z99129.4
hsa-miR-135a-5p	LINC-PINT
hsa-miR-135a-5p	AC016831.6
hsa-miR-135a-5p	LINC-PINT
hsa-miR-135a-5p	AC016831.6
hsa-miR-135a-5p	AL162413.1
hsa-miR-135a-5p	RPARP-AS1
hsa-miR-135a-5p	RPARP-AS1
hsa-miR-135a-5p	RPARP-AS1
hsa-miR-135a-5p	KCNQ1OT1
hsa-miR-135a-5p	KCNQ1OT1
hsa-miR-135a-5p	KCNQ1OT1
hsa-miR-135a-5p	KCNQ1OT1
hsa-miR-135a-5p	KCNQ1OT1
hsa-miR-135a-5p	KCNQ1OT1
hsa-miR-135a-5p	KCNQ1OT1
hsa-miR-135a-5p	NEAT1
hsa-miR-135a-5p	NEAT1
hsa-miR-135a-5p	NEAT1
hsa-miR-135a-5p	MALAT1
hsa-miR-135a-5p	MALAT1
hsa-miR-135a-5p	AP000766.1
hsa-miR-135a-5p	AC026356.1
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	HELLPAR
hsa-miR-135a-5p	TPT1-AS1
hsa-miR-135a-5p	TPT1-AS1
hsa-miR-135a-5p	OIP5-AS1
hsa-miR-135a-5p	Z92544.1
hsa-miR-135a-5p	AC009032.1
hsa-miR-135a-5p	AC018521.1
hsa-miR-135a-5p	AC007780.1
hsa-miR-135a-5p	AC145207.5
hsa-miR-135a-5p	UCA1
hsa-miR-135a-5p	AC079466.1
hsa-miR-135a-5p	XIST
hsa-miR-135a-5p	LINC00632
hsa-miR-135a-5p	LINC00632
hsa-miR-135a-5p	LINC00632
hsa-miR-135a-5p	LINC00632
hsa-miR-135b-5p	AL137127.1
hsa-miR-135b-5p	WARS2-AS1
hsa-miR-135b-5p	GAS5
hsa-miR-135b-5p	GAS5
hsa-miR-135b-5p	DPP4-DT
hsa-miR-135b-5p	DANCR
hsa-miR-135b-5p	PURPL
hsa-miR-135b-5p	AC021078.1
hsa-miR-135b-5p	AC021078.1
hsa-miR-135b-5p	Z99129.4
hsa-miR-135b-5p	LINC-PINT
hsa-miR-135b-5p	AC016831.6
hsa-miR-135b-5p	LINC-PINT
hsa-miR-135b-5p	AC016831.6
hsa-miR-135b-5p	AL162413.1
hsa-miR-135b-5p	RPARP-AS1
hsa-miR-135b-5p	RPARP-AS1
hsa-miR-135b-5p	RPARP-AS1
hsa-miR-135b-5p	KCNQ1OT1
hsa-miR-135b-5p	KCNQ1OT1
hsa-miR-135b-5p	KCNQ1OT1
hsa-miR-135b-5p	KCNQ1OT1
hsa-miR-135b-5p	KCNQ1OT1
hsa-miR-135b-5p	KCNQ1OT1
hsa-miR-135b-5p	KCNQ1OT1
hsa-miR-135b-5p	NEAT1
hsa-miR-135b-5p	NEAT1
hsa-miR-135b-5p	NEAT1
hsa-miR-135b-5p	MALAT1
hsa-miR-135b-5p	MALAT1
hsa-miR-135b-5p	AP000766.1
hsa-miR-135b-5p	AC026356.1
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	HELLPAR
hsa-miR-135b-5p	TPT1-AS1
hsa-miR-135b-5p	TPT1-AS1
hsa-miR-135b-5p	OIP5-AS1
hsa-miR-135b-5p	Z92544.1
hsa-miR-135b-5p	AC009032.1
hsa-miR-135b-5p	AC018521.1
hsa-miR-135b-5p	AC007780.1
hsa-miR-135b-5p	AC145207.5
hsa-miR-135b-5p	UCA1
hsa-miR-135b-5p	AC079466.1
hsa-miR-135b-5p	XIST
hsa-miR-135b-5p	LINC00632
hsa-miR-135b-5p	LINC00632
hsa-miR-135b-5p	LINC00632
hsa-miR-135b-5p	LINC00632
hsa-miR-136-5p	AL451042.1
hsa-miR-136-5p	GAS5
hsa-miR-136-5p	GAS5
hsa-miR-136-5p	CYTOR
hsa-miR-136-5p	CYTOR
hsa-miR-136-5p	CYTOR
hsa-miR-136-5p	AC064836.2
hsa-miR-136-5p	AC100810.1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	KCNQ1OT1
hsa-miR-136-5p	NEAT1
hsa-miR-136-5p	AP003119.3
hsa-miR-136-5p	AP003119.3
hsa-miR-136-5p	AP003392.3
hsa-miR-136-5p	MIR100HG
hsa-miR-136-5p	AC008014.1
hsa-miR-136-5p	PRANCR
hsa-miR-136-5p	PRANCR
hsa-miR-136-5p	AC156455.1
hsa-miR-136-5p	MEG3
hsa-miR-136-5p	MEG3
hsa-miR-136-5p	MEG3
hsa-miR-136-5p	MEG3
hsa-miR-136-5p	MEG3
hsa-miR-136-5p	AL583810.1
hsa-miR-136-5p	AL928654.4
hsa-miR-136-5p	OIP5-AS1
hsa-miR-136-5p	OIP5-AS1
hsa-miR-136-5p	AC133065.1
hsa-miR-136-5p	AC004943.2
hsa-miR-136-5p	AC243964.4
hsa-miR-136-5p	AC007191.1
hsa-miR-136-5p	AC005261.1
hsa-miR-136-5p	NORAD
hsa-miR-136-5p	DSCAM-AS1
hsa-miR-136-5p	XIST
hsa-miR-137	MIR34AHG
hsa-miR-137	AL031428.1
hsa-miR-137	TTLL7-IT1
hsa-miR-137	GAS5
hsa-miR-137	GAS5
hsa-miR-137	FGD5-AS1
hsa-miR-137	MIR302CHG
hsa-miR-137	PURPL
hsa-miR-137	AC021078.1
hsa-miR-137	KCNQ1OT1
hsa-miR-137	KCNQ1OT1
hsa-miR-137	KCNQ1OT1
hsa-miR-137	KCNQ1OT1
hsa-miR-137	KCNQ1OT1
hsa-miR-137	KCNQ1OT1
hsa-miR-137	KCNQ1OT1
hsa-miR-137	KCNQ1OT1
hsa-miR-137	KCNQ1OT1
hsa-miR-137	AP001528.2
hsa-miR-137	AP001528.2
hsa-miR-137	MEG3
hsa-miR-137	OIP5-AS1
hsa-miR-137	OIP5-AS1
hsa-miR-137	OIP5-AS1
hsa-miR-137	OIP5-AS1
hsa-miR-137	OIP5-AS1
hsa-miR-137	OIP5-AS1
hsa-miR-137	AC016355.1
hsa-miR-137	AC016355.1
hsa-miR-137	AC015726.1
hsa-miR-137	AC015726.1
hsa-miR-137	AC145207.5
hsa-miR-137	AC074135.1
hsa-miR-137	AP000317.2
hsa-miR-137	XIST
hsa-miR-138-5p	AL137127.1
hsa-miR-138-5p	AL049795.2
hsa-miR-138-5p	AC134772.1
hsa-miR-138-5p	AL136981.4
hsa-miR-138-5p	SNHG7
hsa-miR-138-5p	SNHG7
hsa-miR-138-5p	H19
hsa-miR-138-5p	H19
hsa-miR-138-5p	H19
hsa-miR-138-5p	LINC00294
hsa-miR-138-5p	NEAT1
hsa-miR-138-5p	NEAT1
hsa-miR-138-5p	AC144548.1
hsa-miR-138-5p	NRAV
hsa-miR-138-5p	AL161891.1
hsa-miR-138-5p	MEG3
hsa-miR-138-5p	MEG3
hsa-miR-138-5p	AL049840.4
hsa-miR-138-5p	AC105036.3
hsa-miR-138-5p	AC092718.3
hsa-miR-138-5p	AC016876.2
hsa-miR-138-5p	AC016876.2
hsa-miR-138-5p	AC016876.2
hsa-miR-138-5p	AC016876.2
hsa-miR-138-5p	AC016876.2
hsa-miR-138-5p	ARHGAP27P1-BPTFP1-KPNA2P3
hsa-miR-138-5p	AC139149.1
hsa-miR-138-5p	DLGAP1-AS1
hsa-miR-138-5p	AC027575.2
hsa-miR-138-5p	PARD6G-AS1
hsa-miR-138-5p	PARD6G-AS1
hsa-miR-138-5p	LINC00665
hsa-miR-138-5p	LINC00665
hsa-miR-138-5p	IGFL2-AS1
hsa-miR-138-5p	AC008895.1
hsa-miR-138-5p	AL121906.2
hsa-miR-138-5p	SNHG17
hsa-miR-138-5p	SNHG17
hsa-miR-138-5p	AL118506.1
hsa-miR-138-5p	AL118506.1
hsa-miR-138-5p	AL118506.1
hsa-miR-138-5p	AL118506.1
hsa-miR-138-5p	AL118506.1
hsa-miR-138-5p	CBR3-AS1
hsa-miR-138-5p	CBR3-AS1
hsa-miR-138-5p	DSCAM-AS1
hsa-miR-138-5p	MCM3AP-AS1
hsa-miR-138-5p	MIR222HG
hsa-miR-138-5p	MIR222HG
hsa-miR-138-5p	AL157700.1
hsa-miR-139-5p	SNHG3
hsa-miR-139-5p	TTN-AS1
hsa-miR-139-5p	THUMPD3-AS1
hsa-miR-139-5p	AC104447.1
hsa-miR-139-5p	AC093010.2
hsa-miR-139-5p	TAPT1-AS1
hsa-miR-139-5p	AC084082.1
hsa-miR-139-5p	AC124798.1
hsa-miR-139-5p	PAUPAR
hsa-miR-139-5p	NEAT1
hsa-miR-139-5p	NEAT1
hsa-miR-139-5p	AL138820.1
hsa-miR-139-5p	AL138820.1
hsa-miR-139-5p	DHRS4-AS1
hsa-miR-139-5p	SNHG14
hsa-miR-139-5p	SNHG14
hsa-miR-139-5p	AC015871.4
hsa-miR-139-5p	AC015871.3
hsa-miR-139-5p	LINC00662
hsa-miR-139-5p	LINC00662
hsa-miR-139-5p	TMEM147-AS1
hsa-miR-139-5p	AC005261.1
hsa-miR-139-5p	AC005261.1
hsa-miR-139-5p	SNHG17
hsa-miR-139-5p	XIST
hsa-miR-139-5p	XIST
hsa-miR-140-3p	SNHG12
hsa-miR-140-3p	AL139260.2
hsa-miR-140-3p	AL356488.2
hsa-miR-140-3p	MIR29B2CHG
hsa-miR-140-3p	MIR29B2CHG
hsa-miR-140-3p	MIR29B2CHG
hsa-miR-140-3p	MIR29B2CHG
hsa-miR-140-3p	MIR29B2CHG
hsa-miR-140-3p	AGAP1-IT1
hsa-miR-140-3p	AC104447.1
hsa-miR-140-3p	AC093010.2
hsa-miR-140-3p	AL158206.1
hsa-miR-140-3p	MIR600HG
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	KCNQ1OT1
hsa-miR-140-3p	LINC00294
hsa-miR-140-3p	NEAT1
hsa-miR-140-3p	MIR17HG
hsa-miR-140-3p	PSMA3-AS1
hsa-miR-140-3p	MEG8
hsa-miR-140-3p	AL117190.1
hsa-miR-140-3p	MEG8
hsa-miR-140-3p	MEG8
hsa-miR-140-3p	AL049840.5
hsa-miR-140-3p	AL049840.5
hsa-miR-140-3p	EIF3J-DT
hsa-miR-140-3p	EIF3J-DT
hsa-miR-140-3p	AC110048.2
hsa-miR-140-3p	AC103746.1
hsa-miR-140-3p	AC012676.5
hsa-miR-140-3p	SLX1A-SULT1A3
hsa-miR-140-3p	SLX1A-SULT1A3
hsa-miR-140-3p	AC135048.1
hsa-miR-140-3p	AC135050.6
hsa-miR-140-3p	AC004943.2
hsa-miR-140-3p	AC004943.2
hsa-miR-140-3p	AC009078.3
hsa-miR-140-3p	LINC00304
hsa-miR-140-3p	MIR497HG
hsa-miR-140-3p	MIR497HG
hsa-miR-140-3p	FAM106A
hsa-miR-140-3p	FAM106A
hsa-miR-140-3p	FAM106A
hsa-miR-140-3p	AC018521.1
hsa-miR-140-3p	AC018521.1
hsa-miR-140-3p	AC018521.1
hsa-miR-140-3p	SNHG20
hsa-miR-140-3p	AC024580.1
hsa-miR-140-3p	AL031587.5
hsa-miR-140-3p	AL022328.4
hsa-miR-140-3p	AL022328.4
hsa-miR-140-3p	XIST
hsa-miR-140-5p	AL162258.1
hsa-miR-140-5p	FGD5-AS1
hsa-miR-140-5p	C3orf35
hsa-miR-140-5p	AC079781.5
hsa-miR-140-5p	PVT1
hsa-miR-140-5p	PVT1
hsa-miR-140-5p	H19
hsa-miR-140-5p	KCNQ1OT1
hsa-miR-140-5p	KCNQ1OT1
hsa-miR-140-5p	KCNQ1OT1
hsa-miR-140-5p	KCNQ1OT1
hsa-miR-140-5p	KCNQ1OT1
hsa-miR-140-5p	KCNQ1OT1
hsa-miR-140-5p	KCNQ1OT1
hsa-miR-140-5p	KCNQ1OT1
hsa-miR-140-5p	KCNQ1OT1
hsa-miR-140-5p	SNHG1
hsa-miR-140-5p	NEAT1
hsa-miR-140-5p	NEAT1
hsa-miR-140-5p	MALAT1
hsa-miR-140-5p	MALAT1
hsa-miR-140-5p	MALAT1
hsa-miR-140-5p	AP001486.2
hsa-miR-140-5p	AP001486.2
hsa-miR-140-5p	AP001486.2
hsa-miR-140-5p	AC092747.4
hsa-miR-140-5p	SNHG14
hsa-miR-140-5p	SNHG14
hsa-miR-140-5p	SNHG14
hsa-miR-140-5p	OIP5-AS1
hsa-miR-140-5p	SNHG16
hsa-miR-140-5p	CBR3-AS1
hsa-miR-140-5p	GUSBP11
hsa-miR-140-5p	XIST
hsa-miR-140-5p	LINC00894
hsa-miR-141-3p	MIR34AHG
hsa-miR-141-3p	MIR34AHG
hsa-miR-141-3p	PINK1-AS
hsa-miR-141-3p	PINK1-AS
hsa-miR-141-3p	THBS3-AS1
hsa-miR-141-3p	MIR29B2CHG
hsa-miR-141-3p	MIR29B2CHG
hsa-miR-141-3p	MIR4435-2HG
hsa-miR-141-3p	AC093010.2
hsa-miR-141-3p	AC093010.2
hsa-miR-141-3p	AC021078.1
hsa-miR-141-3p	AC021078.1
hsa-miR-141-3p	AL713998.1
hsa-miR-141-3p	DLX6-AS1
hsa-miR-141-3p	DLX6-AS1
hsa-miR-141-3p	DLX6-AS1
hsa-miR-141-3p	DLX6-AS1
hsa-miR-141-3p	AC016831.1
hsa-miR-141-3p	AC016831.1
hsa-miR-141-3p	PRKAG2-AS1
hsa-miR-141-3p	AC055822.1
hsa-miR-141-3p	EBLN3P
hsa-miR-141-3p	KCNQ1OT1
hsa-miR-141-3p	KCNQ1OT1
hsa-miR-141-3p	KCNQ1OT1
hsa-miR-141-3p	KCNQ1OT1
hsa-miR-141-3p	KCNQ1OT1
hsa-miR-141-3p	KCNQ1OT1
hsa-miR-141-3p	KCNQ1OT1
hsa-miR-141-3p	KCNQ1OT1
hsa-miR-141-3p	AC124798.1
hsa-miR-141-3p	NEAT1
hsa-miR-141-3p	MALAT1
hsa-miR-141-3p	MALAT1
hsa-miR-141-3p	MALAT1
hsa-miR-141-3p	AL049840.5
hsa-miR-141-3p	AL049840.5
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	SNHG14
hsa-miR-141-3p	OIP5-AS1
hsa-miR-141-3p	OIP5-AS1
hsa-miR-141-3p	OIP5-AS1
hsa-miR-141-3p	AC015871.3
hsa-miR-141-3p	LINC02693
hsa-miR-141-3p	LINC02693
hsa-miR-141-3p	SNHG16
hsa-miR-141-3p	TMEM147-AS1
hsa-miR-141-3p	AC245060.7
hsa-miR-141-3p	XIST
hsa-miR-141-3p	XIST
hsa-miR-141-3p	XIST
hsa-miR-142-3p	THBS3-AS1
hsa-miR-142-3p	AC074117.1
hsa-miR-142-3p	FGD5-AS1
hsa-miR-142-3p	MAGI2-AS3
hsa-miR-142-3p	MAGI2-AS3
hsa-miR-142-3p	AL157392.3
hsa-miR-142-3p	KCNQ1OT1
hsa-miR-142-3p	KCNQ1OT1
hsa-miR-142-3p	KCNQ1OT1
hsa-miR-142-3p	KCNQ1OT1
hsa-miR-142-3p	KCNQ1OT1
hsa-miR-142-3p	KCNQ1OT1
hsa-miR-142-3p	NEAT1
hsa-miR-142-3p	MALAT1
hsa-miR-142-3p	AC125603.1
hsa-miR-142-3p	N4BP2L2-IT2
hsa-miR-142-3p	SNHG14
hsa-miR-142-3p	PWAR1
hsa-miR-142-3p	AC126365.1
hsa-miR-142-3p	AC024267.1
hsa-miR-142-3p	LINC01684
hsa-miR-142-5p	AC093019.2
hsa-miR-142-5p	FGD5-AS1
hsa-miR-142-5p	AC093010.2
hsa-miR-142-5p	CKMT2-AS1
hsa-miR-142-5p	U91328.3
hsa-miR-142-5p	MAGI2-AS3
hsa-miR-142-5p	MAGI2-AS3
hsa-miR-142-5p	MAGI2-AS3
hsa-miR-142-5p	ST7-OT4
hsa-miR-142-5p	ST7-OT4
hsa-miR-142-5p	AC000123.3
hsa-miR-142-5p	AC093673.1
hsa-miR-142-5p	AC090739.1
hsa-miR-142-5p	ERICD
hsa-miR-142-5p	AL158206.1
hsa-miR-142-5p	AL158206.1
hsa-miR-142-5p	LINC00839
hsa-miR-142-5p	KCNQ1OT1
hsa-miR-142-5p	KCNQ1OT1
hsa-miR-142-5p	KCNQ1OT1
hsa-miR-142-5p	KCNQ1OT1
hsa-miR-142-5p	KCNQ1OT1
hsa-miR-142-5p	KCNQ1OT1
hsa-miR-142-5p	KCNQ1OT1
hsa-miR-142-5p	NEAT1
hsa-miR-142-5p	NEAT1
hsa-miR-142-5p	NEAT1
hsa-miR-142-5p	NEAT1
hsa-miR-142-5p	AC026356.1
hsa-miR-142-5p	AC073569.3
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
hsa-miR-142-5p	HELLPAR
