miRNA	lncRNA
hsa-let-7i-5p	AL162171.3
hsa-let-7i-5p	MEG3
hsa-let-7i-5p	MEG3
hsa-let-7i-5p	MIR9-3HG
hsa-let-7i-5p	AC109460.3
hsa-let-7i-5p	AC106886.4
hsa-let-7i-5p	AC020978.5
hsa-let-7i-5p	SNHG30
hsa-let-7i-5p	AC008105.2
hsa-let-7i-5p	AC037487.4
hsa-let-7i-5p	SNHG16
hsa-let-7i-5p	AC087741.1
hsa-let-7i-5p	LINC00668
hsa-let-7i-5p	LINC00665
hsa-let-7i-5p	AC243964.4
hsa-let-7i-5p	SPACA6P-AS
hsa-let-7i-5p	ZNF337-AS1
hsa-let-7i-5p	ZNF337-AS1
hsa-let-7i-5p	AC003681.1
hsa-let-7i-5p	AC003681.1
hsa-let-7i-5p	AC003681.1
hsa-let-7i-5p	XIST
hsa-let-7i-5p	XIST
hsa-let-7i-5p	XIST
hsa-let-7i-5p	XIST
hsa-miR-1-3p	AL162431.1
hsa-miR-1-3p	CYTOR
hsa-miR-1-3p	AC133644.2
hsa-miR-1-3p	CYTOR
hsa-miR-1-3p	AC133644.2
hsa-miR-1-3p	CYTOR
hsa-miR-1-3p	CYTOR
hsa-miR-1-3p	MIR4435-2HG
hsa-miR-1-3p	MIR4435-2HG
hsa-miR-1-3p	MIR4435-2HG
hsa-miR-1-3p	MIR4435-2HG
hsa-miR-1-3p	MIR4435-2HG
hsa-miR-1-3p	TAPT1-AS1
hsa-miR-1-3p	PRR7-AS1
hsa-miR-1-3p	PRR7-AS1
hsa-miR-1-3p	RMRP
hsa-miR-1-3p	LINC00963
hsa-miR-1-3p	NEAT1
hsa-miR-1-3p	NEAT1
hsa-miR-1-3p	NEAT1
hsa-miR-1-3p	NEAT1
hsa-miR-1-3p	NEAT1
hsa-miR-1-3p	MALAT1
hsa-miR-1-3p	MALAT1
hsa-miR-1-3p	TPT1-AS1
hsa-miR-1-3p	TPT1-AS1
hsa-miR-1-3p	TPT1-AS1
hsa-miR-1-3p	LINC00641
hsa-miR-1-3p	LINC00641
hsa-miR-1-3p	LINC00641
hsa-miR-1-3p	DHRS4-AS1
hsa-miR-1-3p	SNHG14
hsa-miR-1-3p	AC124312.3
hsa-miR-1-3p	SNHG14
hsa-miR-1-3p	AC124312.3
hsa-miR-1-3p	SNHG14
hsa-miR-1-3p	SNHG14
hsa-miR-1-3p	SNHG14
hsa-miR-1-3p	SNHG14
hsa-miR-1-3p	SNHG14
hsa-miR-1-3p	AC135048.1
hsa-miR-1-3p	AC005332.6
hsa-miR-1-3p	ZNF667-AS1
hsa-miR-1-3p	ZNF667-AS1
hsa-miR-1-3p	AJ009632.1
hsa-miR-1-3p	AJ009632.1
hsa-miR-1-3p	AJ009632.1
hsa-miR-100-5p	AL354740.1
hsa-miR-100-5p	AC010973.2
hsa-miR-100-5p	AC025423.4
hsa-miR-100-5p	DLEU1
hsa-miR-100-5p	AC051619.6
hsa-miR-101-3p	DHCR24-DT
hsa-miR-101-3p	AC007038.1
hsa-miR-101-3p	AC124045.1
hsa-miR-101-3p	SNHG6
hsa-miR-101-3p	EBLN3P
hsa-miR-101-3p	EBLN3P
hsa-miR-101-3p	EBLN3P
hsa-miR-101-3p	FAM201A
hsa-miR-101-3p	AC124798.1
hsa-miR-101-3p	SNHG1
hsa-miR-101-3p	NEAT1
hsa-miR-101-3p	MALAT1
hsa-miR-101-3p	SNHG14
hsa-miR-101-3p	SNHG14
hsa-miR-101-3p	SNHG14
hsa-miR-101-3p	SNHG14
hsa-miR-101-3p	AC013564.1
hsa-miR-101-3p	AC004687.1
hsa-miR-101-3p	AC145207.5
hsa-miR-101-3p	SNHG22
hsa-miR-101-3p	SNHG22
hsa-miR-101-3p	LINC00662
hsa-miR-101-3p	LINC00662
hsa-miR-101-3p	AC024580.1
hsa-miR-101-3p	LINC00899
hsa-miR-101-3p	XIST
hsa-miR-101-3p	XIST
hsa-miR-101-3p	XIST
hsa-miR-101-3p	XIST
hsa-miR-103a-3p	AL137127.1
hsa-miR-103a-3p	LINC01343
hsa-miR-103a-3p	AL691459.1
hsa-miR-103a-3p	MIR181A1HG
hsa-miR-103a-3p	MIR29B2CHG
hsa-miR-103a-3p	AC016747.1
hsa-miR-103a-3p	AC016747.1
hsa-miR-103a-3p	PAX8-AS1
hsa-miR-103a-3p	PAX8-AS1
hsa-miR-103a-3p	TTN-AS1
hsa-miR-103a-3p	TTN-AS1
hsa-miR-103a-3p	FGD5-AS1
hsa-miR-103a-3p	LINC02035
hsa-miR-103a-3p	AC105345.1
hsa-miR-103a-3p	AC105345.1
hsa-miR-103a-3p	SLC9A3-AS1
hsa-miR-103a-3p	AC093297.2
hsa-miR-103a-3p	AC005609.1
hsa-miR-103a-3p	AC021078.1
hsa-miR-103a-3p	RNF216P1
hsa-miR-103a-3p	RNF216P1
hsa-miR-103a-3p	RNF216P1
hsa-miR-103a-3p	AC003092.1
hsa-miR-103a-3p	DLX6-AS1
hsa-miR-103a-3p	DLX6-AS1
hsa-miR-103a-3p	AC069281.2
hsa-miR-103a-3p	H19
hsa-miR-103a-3p	KCNQ1OT1
hsa-miR-103a-3p	KCNQ1OT1
hsa-miR-103a-3p	KCNQ1OT1
hsa-miR-103a-3p	KCNQ1OT1
